DESCRIPTION,WORDNUMBER,VALENCEAVERAGE,AROUSALAVERAGE,DOMINANCEAVERAGE,WORDFREQUENCY
abduction,621,2.76,5.53,3.49,1
abortion,622,3.5,5.39,4.59,6
absurd,623,4.26,4.36,4.73,17
abundance,624,6.59,5.51,5.8,13
abuse,1,1.8,6.83,3.69,18
acceptance,625,7.98,5.4,6.64,49
accident,2,2.05,6.26,3.76,33
ace,626,6.88,5.5,6.39,15
ache,627,2.46,5,3.54,4
achievement,3,7.89,5.53,6.56,65
activate,4,5.46,4.86,5.43,2
addict,581,2.48,5.66,3.72,1
addicted,628,2.51,4.81,3.46,3
admired,5,7.74,6.11,7.53,17
adorable,6,7.81,5.12,5.74,3
adult,546,6.49,4.76,5.75,25
advantage,629,6.95,4.76,6.36,73
adventure,630,7.6,6.98,6.46,14
affection,7,8.39,6.21,6.08,18
afraid,8,2,6.67,3.98,57
aggressive,9,5.1,5.83,5.59,17
agility,22,6.46,4.85,5.87,3
agony,10,2.43,6.06,4.02,9
agreement,631,7.08,5.02,6.22,106
air,632,6.34,4.12,5.1,257
alcoholic,582,2.84,5.69,4.45,3
alert,11,6.2,6.85,5.96,33
alien,633,5.6,5.45,4.64,16
alimony,634,3.95,4.3,4.63,2
alive,635,7.25,5.5,6.39,57
allergy,636,3.07,4.64,3.21,1
alley,637,4.48,4.91,4,8
alone,12,2.41,4.83,3.7,195
aloof,13,4.9,4.28,4.69,5
ambition,14,7.04,5.61,6.93,19
ambulance,15,2.47,7.33,3.22,6
angel,16,7.53,4.83,4.97,18
anger,17,2.34,7.63,5.5,48
angry,18,2.85,7.17,5.55,45
anguished,19,2.12,5.33,3.45,2
ankle,638,5.27,4.16,4.77,8
annoy,20,2.74,6.49,5.09,2
answer,639,6.63,5.41,5.85,152
anxious,21,4.81,6.92,5.33,29
applause,640,7.5,5.8,6.48,14
appliance,641,5.1,4.05,5.05,5
arm,642,5.34,3.59,5.07,94
army,23,4.72,5.03,5.03,132
aroused,24,7.97,6.63,6.14,20
arrogant,25,3.69,5.65,5.14,2
art,643,6.68,4.86,5.3,208
assassin,26,3.09,6.28,4.33,6
assault,27,2.03,7.51,3.94,15
astonished,28,6.56,6.58,5.16,6
astronaut,501,6.66,5.28,5.2,2
athletics,644,6.61,6.1,6.12,9
autumn,29,6.3,4.51,5.15,22
avalanche,645,3.29,5.54,3.61,1
avenue,646,5.5,4.12,5.4,46
awed,30,6.7,5.74,5.3,5
baby,31,8.22,5.53,5,62
bake,647,6.17,5.1,5.49,12
bandage,648,4.54,3.9,4.52,4
bankrupt,32,2,6.21,3.27,5
banner,649,5.4,3.83,4.8,8
bar,650,6.42,5,5.47,82
barrel,651,5.05,3.36,4.89,24
basket,547,5.45,3.63,5.76,17
bastard,33,3.36,6.07,4.17,12
bath,502,7.33,4.16,6.41,26
bathroom,548,5.55,3.88,5.65,18
bathtub,652,6.69,4.36,5.76,4
beach,34,8.03,5.53,5.44,61
beast,653,4.23,5.57,4.89,7
beautiful,654,7.6,6.17,6.29,127
beauty,35,7.82,4.95,5.53,71
bed,549,7.51,3.61,6.88,127
bees,583,3.2,6.51,4.16,15
beggar,36,3.22,4.91,4.09,2
bench,655,4.61,3.59,4.68,35
bereavement,656,4.57,4.2,4.33,4
betray,37,1.68,7.24,4.92,4
beverage,657,6.83,5.21,5.63,5
bird,38,7.27,3.17,4.42,31
birthday,39,7.84,6.68,5.89,18
black,543,5.39,4.61,5.14,203
blackmail,40,2.95,6.03,3.54,2
bland,658,4.1,3.29,4.88,3
blase,41,4.89,3.94,4.57,7
blasphemy,659,3.75,4.93,4.75,4
bless,42,7.19,4.05,5.52,9
blind,43,3.05,4.39,3.28,47
bliss,660,6.95,4.41,6.12,4
blister,661,2.88,4.1,3.98,3
blond,662,6.43,5.07,5.74,11
bloody,584,2.9,6.41,3.96,8
blossom,44,7.26,5.03,5.53,7
blubber,663,3.52,4.57,3.86,1
blue,544,6.76,4.31,5.63,143
board,664,4.82,3.36,4.98,239
body,665,5.55,5.52,5.34,276
bold,45,6.8,5.6,6.67,21
bomb,46,2.1,7.15,4.54,36
book,47,5.72,4.17,5.3,193
bored,48,2.95,2.83,4.11,14
bottle,666,6.15,4.79,4.78,76
bouquet,667,7.02,5.46,6.15,4
bowl,49,5.33,3.47,4.69,23
boxer,585,5.51,5.12,5.1,1
boy,50,6.32,4.58,5.34,242
brave,668,7.15,6.15,7.22,24
breast,51,6.5,5.37,5.39,11
breeze,669,6.85,4.37,5.54,14
bride,670,7.34,5.55,5.74,33
bright,671,7.5,5.4,6.34,87
broken,672,3.05,5.43,4.14,63
brother,52,7.11,4.71,5.12,73
brutal,53,2.8,6.6,4.59,7
building,550,5.29,3.92,5.25,160
bullet,673,3.29,5.33,3.9,28
bunny,54,7.24,4.06,4.97,1
burdened,55,2.5,5.63,5.03,4
burial,56,2.05,5.08,3.55,11
burn,586,2.73,6.22,4.22,15
bus,541,4.51,3.55,4.84,34
busybody,674,5.17,4.84,5.45,.
butter,57,5.33,3.17,4.67,27
butterfly,58,7.17,3.47,4.65,2
cabinet,675,5.05,3.43,4.73,17
cake,59,7.26,5,5.16,9
cancer,60,1.5,6.42,3.42,25
candy,61,6.54,4.58,5.33,16
cane,677,4,4.2,4.27,12
cannon,678,4.9,4.71,5.17,7
capable,62,7.16,5.08,6.47,66
car,551,7.73,6.24,6.98,274
carcass,679,3.34,4.83,4.9,7
carefree,63,7.54,4.17,5.78,9
caress,64,7.84,5.14,5.83,1
cash,503,8.37,7.37,6.96,36
casino,680,6.81,6.51,5.12,2
cat,504,5.72,4.38,6.16,.
cell,587,3.82,4.08,4.12,65
cellar,681,4.32,4.39,4.66,26
cemetery,65,2.63,4.82,4.27,15
chair,66,5.08,3.15,4.56,66
champ,682,7.18,6,6.77,1
champion,67,8.44,5.85,6.5,23
chance,683,6.02,5.38,4.64,131
chaos,684,4.17,6.67,3.86,17
charm,68,6.77,5.16,5.57,26
cheer,69,8.1,6.12,6,8
child,70,7.08,5.55,5.1,213
chin,685,5.29,3.31,5.26,27
chocolate,505,6.88,5.29,5.18,9
christmas,686,7.8,6.27,5.37,27
church,71,6.28,4.34,5,348
circle,687,5.67,3.86,5.03,60
circus,72,7.3,5.97,5.39,7
city,73,6.03,5.24,5.74,393
cliff,553,4.67,6.25,4.35,11
clock,688,5.14,4.02,4.67,20
clothing,74,6.54,4.78,5.33,20
clouds,533,6.18,3.3,5.22,38
clumsy,689,4,5.18,3.86,6
coarse,690,4.55,4.21,5,10
coast,691,5.98,4.59,5.67,61
cockroach,75,2.81,6.11,4.74,2
coffin,76,2.56,5.03,4.08,7
coin,692,6.02,4.29,5.66,10
cold,693,4.02,5.19,4.69,171
color,694,7.02,4.73,6.17,141
column,695,5.17,3.62,4.81,71
comedy,77,8.37,5.85,5.44,39
comfort,696,7.07,3.93,5.7,43
computer,552,6.24,4.75,5.29,13
concentrate,78,5.2,4.65,4.97,11
confident,79,7.98,6.22,7.68,16
confused,80,3.21,6.03,4.24,44
consoled,81,5.78,4.53,4.44,2
contempt,82,3.85,5.28,5.13,15
contents,83,4.89,4.32,4.85,16
context,84,5.2,4.22,5.17,2
controlling,85,3.8,6.1,5.17,23
cook,697,6.16,4.44,5.14,47
cord,698,5.1,3.54,5,6
cork,699,5.22,3.8,4.98,9
corner,700,4.36,3.91,4.12,115
corpse,86,2.18,4.74,3.59,7
corridor,701,4.88,3.63,5,17
corrupt,702,3.32,4.67,4.64,8
cottage,87,6.45,3.39,5.39,19
couple,506,7.41,6.39,6.02,122
cow,554,5.57,3.49,5.32,29
coward,703,2.74,4.07,2.83,8
cozy,88,7.39,3.32,4.89,1
crash,89,2.31,6.95,3.44,20
crime,704,2.89,5.41,4.12,34
criminal,705,2.93,4.79,3.34,24
crisis,706,2.74,5.44,3.6,82
crown,90,6.58,4.28,6.06,19
crucify,91,2.23,6.47,3.74,2
crude,707,3.12,5.07,4.27,15
cruel,92,1.97,5.68,4.24,15
crushed,93,2.21,5.52,3.36,10
crutch,708,3.43,4.14,3.91,1
cuddle,94,7.72,4.4,5.85,.
cuisine,709,6.64,4.39,5.41,1
curious,95,6.08,5.82,5.42,46
curtains,710,4.83,3.67,5.05,8
custom,96,5.85,4.66,5,14
cut,711,3.64,5,4.7,192
cute,97,7.62,5.53,4.86,5
cyclone,98,3.6,6.36,4.89,.
dagger,99,3.38,6.14,4.52,1
damage,712,3.05,5.57,3.88,33
dancer,507,7.14,6,6.02,31
danger,713,2.95,7.32,3.59,70
dark,714,4.71,4.28,4.84,185
dawn,715,6.16,4.39,5.16,28
daylight,716,6.8,4.77,5.48,15
dazzle,717,7.29,6.33,5.62,1
dead,588,1.94,5.73,2.84,174
death,100,1.61,4.59,3.47,277
debt,101,2.22,5.68,3.02,13
deceit,718,2.9,5.68,3.95,2
decompose,102,3.2,4.65,4.02,1
decorate,719,6.93,5.14,6.05,2
defeated,103,2.34,5.09,3.11,15
defiant,104,4.26,6.1,5.77,3
deformed,720,2.41,4.07,3.95,.
delayed,721,3.07,5.62,3.64,25
delight,105,8.26,5.44,5.79,29
demon,106,2.11,6.76,4.89,9
dentist,589,4.02,5.73,3.8,12
depressed,107,1.83,4.72,2.74,11
depression,108,1.85,4.54,2.91,24
derelict,722,4.28,4.1,4.78,1
deserter,109,2.45,5.5,3.77,.
desire,508,7.69,7.35,6.49,79
despairing,110,2.43,5.68,3.43,4
despise,111,2.03,6.28,4.72,7
destroy,112,2.64,6.83,4.94,48
destruction,723,3.16,5.82,3.93,38
detached,113,3.86,4.26,3.63,12
detail,724,5.55,4.1,5.21,72
detest,114,2.17,6.06,5.83,1
devil,115,2.21,6.07,5.35,25
devoted,116,7.41,5.23,6.18,51
diamond,117,7.92,5.53,5.54,8
dignified,118,7.1,4.12,6.12,7
dinner,509,7.16,5.43,6.1,91
diploma,119,8,5.67,6.76,.
dirt,725,4.17,3.76,4.83,43
dirty,590,3.08,4.88,4.7,36
disappoint,120,2.39,4.92,3.29,.
disaster,121,1.73,6.33,3.52,26
discomfort,726,2.19,4.17,3.86,7
discouraged,122,3,4.53,3.61,15
disdainful,123,3.68,5.04,4.55,2
disgusted,124,2.45,5.42,4.34,6
disloyal,125,1.93,6.56,3.79,2
displeased,126,2.79,5.64,4.19,7
distressed,127,1.94,6.4,3.76,4
disturb,727,3.66,5.8,4.55,10
diver,510,6.45,5.04,5.04,1
divorce,128,2.22,6.33,3.26,29
doctor,129,5.2,5.86,4.89,100
dog,511,7.57,5.76,6.25,75
doll,728,6.09,4.24,4.61,10
dollar,729,7.47,6.07,6.33,46
door,130,5.13,3.8,4.69,312
dove,730,6.9,3.79,5.48,4
dreadful,131,2.26,5.84,4.1,10
dream,132,6.73,4.53,5.53,64
dreary,731,3.05,2.98,3.81,6
dress,133,6.41,4.05,5,67
drown,591,1.92,6.57,2.86,3
dummy,732,3.38,4.35,3.67,3
dump,733,3.21,4.12,3.83,4
dustpan,555,3.98,3.43,5.45,.
earth,134,7.15,4.24,5.61,150
easy,734,7.1,4.48,7,125
easygoing,135,7.2,4.3,5.25,1
eat,136,7.47,5.69,5.6,61
ecstasy,735,7.98,7.38,6.68,6
education,137,6.69,5.74,6.15,214
egg,736,5.29,3.76,4.49,12
elated,138,7.45,6.21,5.53,3
elbow,737,5.12,3.81,4.88,10
elegant,139,7.43,4.53,5.95,14
elevator,738,5.44,4.16,4.32,12
embarrassed,140,3.03,5.87,2.87,8
embattled,141,4.39,5.36,4.81,1
employment,147,6.47,5.28,5.73,47
engaged,143,8,6.77,6.49,47
engine,148,5.2,3.98,5,50
enjoyment,145,7.8,5.2,6.46,21
ennui,146,5.09,4.4,4.67,.
enraged,149,2.46,7.97,6.33,1
erotic,512,7.43,7.24,6.39,8
errand,150,4.58,3.85,4.78,7
event,740,6.21,5.1,5.52,81
evil,741,3.23,6.39,5.25,72
excellence,151,8.38,5.54,7.28,15
excitement,152,7.5,7.67,6.18,32
excuse,153,4.05,4.48,4.07,27
execution,154,2.37,5.71,4.11,15
exercise,155,7.13,6.84,5.68,58
fabric,742,5.3,4.14,5.03,15
face,556,6.39,5.04,5.67,371
failure,156,1.7,4.95,2.4,89
fall,743,4.09,4.7,4,147
FALSE,744,3.27,3.43,4.1,29
fame,157,7.93,6.55,6.85,18
family,158,7.65,4.8,6,331
famous,745,6.98,5.73,6.32,89
fantasy,746,7.41,5.14,6.43,14
farm,557,5.53,3.9,5.59,125
fascinate,159,7.34,5.83,6.15,3
fat,160,2.28,4.81,4.47,60
father,161,7.08,5.92,5.63,383
fatigued,162,3.28,2.64,3.78,3
fault,747,3.43,4.07,4.02,22
favor,748,6.46,4.54,5.67,78
fear,592,2.76,6.96,3.22,127
fearful,163,2.25,6.33,3.64,13
feeble,164,3.26,4.1,2.71,8
festive,749,7.3,6.58,5.77,2
fever,750,2.76,4.29,3.52,19
field,558,6.2,4.08,5.84,274
fight,751,3.76,7.15,5.27,98
filth,165,2.47,5.12,3.81,2
finger,752,5.29,3.78,5.05,40
fire,166,3.22,7.17,4.49,187
fireworks,513,7.55,6.67,5.51,5
fish,559,6.04,4,6.02,35
flabby,167,2.66,4.82,3.31,.
flag,753,6.02,4.6,5.5,16
flirt,754,7.52,6.91,6.24,1
flood,755,3.19,6,3.24,19
flower,168,6.64,4,4.98,23
foam,756,6.07,5.26,5.24,37
food,514,7.65,5.92,6.18,147
foot,757,5.02,3.27,4.98,70
fork,560,5.29,3.96,5.74,14
foul,169,2.81,4.93,4.51,4
fragrance,170,6.07,4.79,5.14,6
fraud,171,2.67,5.75,3.58,8
free,172,8.26,5.15,6.35,260
freedom,173,7.58,5.52,6.76,128
friend,174,7.74,5.74,6.74,133
friendly,175,8.43,5.11,5.92,61
frigid,758,3.5,4.75,4.27,5
frog,176,5.71,4.54,5.34,1
frustrated,177,2.48,5.61,3.5,10
fun,759,8.37,7.22,6.8,44
funeral,178,1.39,4.94,2.97,33
fungus,179,3.06,4.68,4.06,2
fur,180,4.51,4.18,4.32,13
game,760,6.98,5.89,5.7,123
gangrene,181,2.28,5.7,3.36,.
garbage,182,2.98,5.04,4.24,7
garden,761,6.71,4.39,6.02,60
garment,762,6.07,4.49,5.3,6
garter,534,6.22,5.47,5.82,2
gender,763,5.73,4.38,5.6,2
gentle,183,7.31,3.21,5.1,27
germs,764,2.86,4.49,3.79,1
gift,184,7.77,6.14,5.52,33
girl,185,6.87,4.29,5.8,220
glacier,186,5.5,4.24,4.92,1
glamour,187,6.76,4.68,5.76,5
glass,765,4.75,4.27,5,99
gloom,188,1.88,3.83,3.55,14
glory,189,7.55,6.02,6.85,21
god,190,8.15,5.95,5.88,318
gold,191,7.54,5.76,5.85,52
golfer,535,5.61,3.73,5.55,3
good,766,7.47,5.43,6.41,807
gossip,767,3.48,5.74,3.57,13
graduate,192,8.19,7.25,6.94,30
grass,768,6.12,4.14,5.44,53
grateful,193,7.37,4.58,6.18,25
greed,769,3.51,4.71,4.88,3
green,194,6.18,4.28,4.82,116
greet,770,7,5.27,5.95,7
grenade,771,3.6,5.7,4.29,3
grief,195,1.69,4.78,3.5,10
grime,772,3.37,3.98,4.47,.
grin,773,7.4,5.27,6,13
gripe,774,3.14,5,4.67,.
guillotine,196,2.48,6.56,4.64,.
guilty,197,2.63,6.04,3.09,29
gun,593,3.47,7.02,3.53,118
gymnast,515,6.35,5.02,5.31,1
habit,775,4.11,3.95,4.3,23
hairdryer,561,4.84,3.71,5.57,.
hairpin,776,5.26,3.27,5.05,1
hamburger,777,6.27,4.55,5.32,6
hammer,198,4.88,4.58,4.75,9
hand,778,5.95,4.4,5.35,431
handicap,779,3.29,3.81,4,6
handsome,199,7.93,5.95,5.19,40
haphazard,780,4.02,4.07,4.29,2
happy,200,8.21,6.49,6.63,98
hard,781,5.22,5.12,5.59,202
hardship,782,2.45,4.76,4.22,9
hat,783,5.46,4.1,5.39,56
hate,201,2.12,6.95,5.05,42
hatred,202,1.98,6.66,4.3,20
hawk,536,5.88,4.39,5.5,14
hay,784,5.24,3.95,5.37,19
headache,203,2.02,5.07,3.6,5
headlight,785,5.24,3.81,4.88,.
heal,786,7.09,4.77,5.79,2
health,204,6.81,5.13,5.83,105
heart,787,7.39,6.34,5.49,173
heaven,205,7.3,5.61,6.15,43
hell,788,2.24,5.38,3.24,95
helpless,206,2.2,5.34,2.27,21
heroin,789,4.36,5.11,4.8,2
hide,207,4.32,5.28,3.4,22
highway,562,5.92,5.16,5.66,40
hinder,790,3.81,4.12,4.21,.
history,208,5.24,3.93,4.83,286
hit,594,4.33,5.73,4.88,115
holiday,791,7.55,6.59,6.3,17
home,209,7.91,4.21,5.9,547
honest,210,7.7,5.32,6.24,47
honey,792,6.73,4.51,5.44,25
honor,211,7.66,5.9,6.7,66
hooker,793,3.34,4.93,4.73,.
hope,794,7.05,5.44,5.52,178
hopeful,212,7.1,5.78,5.41,12
horror,213,2.76,7.21,4.63,17
horse,214,5.89,3.89,4.67,117
hospital,215,5.04,5.98,4.69,110
hostage,216,2.2,6.76,2.83,2
hostile,217,2.73,6.44,4.85,19
hotel,795,6,4.8,5.12,126
house,563,7.26,4.56,6.08,591
hug,218,8,5.35,5.79,3
humane,796,6.89,4.5,5.7,5
humble,219,5.86,3.74,4.76,18
humiliate,797,2.24,6.14,2.6,.
humor,220,8.56,5.5,6.08,47
hungry,221,3.58,5.13,4.68,23
hurricane,798,3.34,6.83,3.07,8
hurt,222,1.9,5.85,3.33,37
hydrant,564,5.02,3.71,5.53,.
icebox,799,4.95,4.17,5.05,3
idea,800,7,5.86,6.26,195
identity,801,6.57,4.95,6.4,55
idiot,223,3.16,4.21,3.18,2
idol,802,6.12,4.95,5.37,7
ignorance,803,3.07,4.39,4.41,16
illness,804,2.48,4.71,3.21,20
imagine,805,7.32,5.98,7.07,61
immature,806,3.39,4.15,4.85,7
immoral,807,3.5,4.98,4.66,5
impair,808,3.18,4.04,4.09,4
impotent,224,2.81,4.57,3.43,2
impressed,225,7.33,5.42,5.51,30
improve,226,7.65,5.69,6.08,39
incentive,809,7,5.69,5.93,12
indifferent,810,4.61,3.18,4.84,11
industry,227,5.3,4.47,4.91,171
infant,811,6.95,5.05,5.67,11
infatuation,516,6.73,7.02,4.9,4
infection,228,1.66,5.03,3.61,8
inferior,812,3.07,3.83,2.78,7
inhabitant,813,5.05,3.95,5.37,.
injury,595,2.49,5.69,3.57,27
ink,229,5.05,3.84,4.61,7
innocent,814,6.51,4.21,5.28,37
insane,815,2.85,5.83,4.12,13
insect,816,4.07,4.07,4.56,14
insecure,230,2.36,5.56,2.33,3
insolent,231,4.35,5.38,4.5,2
inspire,232,6.97,5,6.34,3
inspired,233,7.15,6.02,6.67,25
insult,817,2.29,6,3.62,7
intellect,818,6.82,4.75,6.3,5
intercourse,819,7.36,7,6.4,9
interest,234,6.97,5.66,5.88,330
intimate,821,7.61,6.98,5.86,21
intruder,822,2.77,6.86,4,1
invader,823,3.05,5.5,4,1
invest,824,5.93,5.12,5.88,3
iron,565,4.9,3.76,5.1,43
irritate,235,3.11,5.76,5.03,.
item,825,5.26,3.24,5.26,54
jail,236,1.95,5.49,3.81,21
jealousy,237,2.51,6.36,3.8,4
jelly,238,5.66,3.7,4.53,3
jewel,239,7,5.38,5.59,1
joke,826,8.1,6.74,6.15,22
jolly,827,7.41,5.57,6.39,4
journal,828,5.14,4.05,5.26,42
joy,240,8.6,7.22,6.28,40
joyful,241,8.22,5.98,6.6,1
jug,829,5.24,3.88,5.05,6
justice,242,7.78,5.47,6.47,114
kerchief,830,5.11,3.43,5.25,1
kerosene,243,4.8,4.34,4.63,6
ketchup,831,5.6,4.09,5.29,1
kettle,832,5.22,3.22,5,3
key,833,5.68,3.7,4.98,88
kick,834,4.31,4.9,5.5,16
kids,835,6.91,5.27,5.07,32
killer,244,1.89,7.86,4.54,21
kind,245,7.59,4.46,5.95,313
kindness,246,7.82,4.3,5.67,5
king,247,7.26,5.51,7.38,88
kiss,248,8.26,7.32,6.93,17
kitten,517,6.86,5.08,6.86,5
knife,596,3.62,5.8,4.12,76
